ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG
1,24d08m43.1s,15d48m35.9s,64,62,63,-90,4,-245,6.54,24.145305555555556,15.809972222222223
2,24d08m48.3s,15d48m11.5s,59,53,57,50,3,217,5.6,24.14675,15.803194444444445
3,24d08m50.2s,15d48m25.8s,50,47,49,0,3,247,5.97,24.147277777777777,15.807166666666667
4,24d08m51.2s,15d48m15.5s,73,67,71,-90,3,203,5.61,24.147555555555556,15.804305555555556
5,24d08m51.5s,15d48m19.9s,46,43,45,-90,3,216,5.73,24.14763888888889,15.805527777777778
6,24d08m52.3s,15d48m22.8s,44,41,43,-90,3,221,5.8,24.147861111111112,15.806333333333335
7,24d08m53.8s,15d48m41.9s,44,42,43,0,3,285,6.4,24.14827777777778,15.81163888888889
8,24d08m54.4s,15d48m7.7s,31,30,30,0,3,157,5.27,24.148444444444443,15.802138888888889
9,24d08m54.9s,15d48m13.7s,58,57,58,-90,3,167,5.42,24.148583333333335,15.803805555555556
10,24d08m55.3s,15d48m16.8s,66,60,64,0,3,175,5.51,24.148694444444445,15.804666666666668
11,24d08m55.3s,15d48m4.9s,17,17,17,0,3,144,5.15,24.148694444444445,15.801361111111111
12,24d08m55.4s,15d48m5.6s,35,32,34,0,3,144,5.17,24.148722222222222,15.801555555555556
13,24d08m56.1s,15d48m3.9s,24,23,24,-90,3,134,5.09,24.148916666666665,15.801083333333334
14,24d08m56.8s,15d48m3.1s,31,26,29,0,3,127,5.05,24.14911111111111,15.800861111111113
15,24d08m57.1s,15d48m5.5s,156,110,141,60,3,130,5.11,24.149194444444444,15.801527777777778
16,24d08m58.1s,15d48m2.9s,24,24,24,0,3,115,4.99,24.149472222222222,15.800805555555556
17,24d08m58.7s,15d48m3.7s,36,34,35,0,3,112,5.0,24.149638888888887,15.801027777777778
18,24d08m59.4s,15d48m23.5s,107,97,104,-90,3,166,5.59,24.149833333333333,15.806527777777779
19,24d08m59.4s,15d47m52.4s,228,162,206,0,3,88,4.66,24.149833333333333,15.797888888888888
20,24d08m59.7s,15d48m19.8s,77,64,72,-90,3,151,5.45,24.149916666666666,15.8055
21,24d09m1.1s,15d48m5.3s,33,24,30,0,3,96,4.95,24.150305555555555,15.801472222222223
22,24d09m1.3s,15d48m3.9s,23,22,23,-90,3,92,4.91,24.15036111111111,15.801083333333334
23,24d09m1.6s,15d47m38.7s,30,30,30,0,3,69,4.27,24.150444444444442,15.794083333333333
24,24d09m2.5s,15d48m37.6s,93,84,90,0,3,202,5.99,24.150694444444444,15.810444444444444
25,24d09m2.5s,15d48m2.8s,28,27,28,0,3,78,4.83,24.150694444444444,15.800777777777778
26,24d09m3.1s,15d47m35.8s,42,42,42,0,3,57,4.15,24.15086111111111,15.793277777777778
27,24d09m3.8s,15d48m23.6s,61,59,60,-90,3,133,5.45,24.151055555555555,15.806555555555557
28,24d09m4.0s,15d48m10.5s,179,176,178,0,3,84,5.01,24.15111111111111,15.802916666666667
29,24d09m4.1s,15d48m6.5s,38,37,38,0,3,74,4.88,24.151138888888887,15.801805555555557
30,24d09m4.1s,15d47m33.1s,38,32,36,0,3,47,4.05,24.151138888888887,15.792527777777778
31,24d09m4.9s,15d47m28.8s,27,24,26,0,3,47,3.95,24.15136111111111,15.791333333333332
32,24d09m5.2s,15d48m5.3s,30,29,30,-90,3,61,4.81,24.151444444444444,15.801472222222223
33,24d09m5.5s,15d48m6.5s,38,35,37,-90,3,62,4.83,24.151527777777776,15.801805555555557
34,24d09m5.6s,15d47m24.4s,26,26,26,0,3,44,3.85,24.151555555555554,15.790111111111111
35,24d09m5.6s,15d47m34.1s,32,25,30,0,3,34,4.01,24.151555555555554,15.792805555555555
36,24d09m6.1s,15d47m32.5s,22,21,21,0,3,31,3.96,24.151694444444445,15.792361111111111
37,24d09m6.3s,15d47m25.3s,24,24,24,0,3,36,3.83,24.15175,15.79036111111111
38,24d09m7.3s,15d48m5.5s,21,19,20,0,3,44,4.74,24.152027777777775,15.801527777777778
39,24d09m7.6s,15d48m13.6s,31,28,30,0,3,65,4.99,24.15211111111111,15.803777777777778
40,24d09m7.7s,15d48m6.1s,24,21,23,-90,3,43,4.74,24.15213888888889,15.801694444444445
41,24d09m8.2s,15d47m22.1s,61,61,61,0,3,29,3.7,24.152277777777776,15.789472222222223
42,24d09m8.9s,15d47m24.6s,33,33,33,0,3,17,3.71,24.152472222222222,15.790166666666666
43,24d09m8.9s,15d48m13.0s,35,26,32,-90,3,53,4.92,24.152472222222222,15.803611111111111
44,24d09m9.4s,15d47m23.7s,26,26,26,0,3,15,3.67,24.15261111111111,15.789916666666667
45,24d09m9.8s,15d48m4.8s,29,21,26,0,3,22,4.63,24.15272222222222,15.801333333333334
46,24d09m10.9s,15d48m11.3s,48,46,47,0,3,31,4.8,24.153027777777776,15.80313888888889
47,24d09m11.6s,15d47m50.0s,35,32,34,0,3,-16,4.13,24.153222222222222,15.797222222222222
48,24d09m11.6s,15d47m16.6s,48,38,44,0,3,10,3.49,24.153222222222222,15.787944444444443
49,24d09m11.8s,15d47m50.8s,29,26,28,0,3,-19,4.14,24.153277777777777,15.797444444444444
50,24d09m12.3s,15d48m12.9s,64,64,64,0,3,26,4.81,24.153416666666665,15.803583333333334
51,24d09m12.3s,15d48m2.6s,74,66,72,-90,3,-3,4.47,24.153416666666665,15.800722222222223
52,24d09m12.9s,15d48m11.0s,61,52,58,0,3,14,4.73,24.153583333333334,15.803055555555556
53,24d09m13.0s,15d48m8.4s,28,26,27,0,3,4,4.64,24.15361111111111,15.802333333333333
54,24d09m13.4s,15d48m15.0s,49,43,47,-90,3,28,4.85,24.15372222222222,15.804166666666667
55,24d09m13.6s,15d48m7.2s,29,28,28,0,3,1,4.58,24.153777777777776,15.802000000000001
56,24d09m13.7s,15d48m5.7s,27,22,25,0,3,-8,4.53,24.153805555555554,15.801583333333333
57,24d09m13.7s,15d47m52.1s,38,34,37,0,3,-29,4.11,24.153805555555554,15.797805555555556
58,24d09m14.1s,15d47m53.4s,24,24,24,0,3,-31,4.13,24.153916666666664,15.798166666666667
59,24d09m14.2s,15d48m5.4s,43,36,41,0,3,-12,4.5,24.15394444444444,15.8015
60,24d09m14.4s,15d48m6.8s,31,29,30,0,3,-7,4.54,24.154,15.80188888888889
61,24d09m14.5s,15d48m8.4s,28,21,25,0,3,-8,4.59,24.154027777777777,15.802333333333333
62,24d09m14.7s,15d47m54.2s,31,31,31,0,3,-37,4.14,24.154083333333332,15.798388888888889
63,24d09m15.6s,15d48m3.0s,32,29,31,0,3,-26,4.38,24.154333333333334,15.800833333333333
64,24d09m15.7s,15d48m13.7s,28,27,28,0,3,6,4.73,24.15436111111111,15.803805555555556
65,24d09m16.3s,15d47m1.9s,32,28,31,0,3,21,3.19,24.154527777777776,15.783861111111111
66,24d09m16.9s,15d47m3.7s,103,91,99,0,3,11,3.17,24.15469444444444,15.78436111111111
67,24d09m17.5s,15d48m13.4s,65,46,59,-90,3,-8,4.66,24.15486111111111,15.803722222222223
68,24d09m17.7s,15d47m1.5s,35,33,34,0,3,11,3.13,24.154916666666665,15.78375
69,24d09m20.9s,15d48m9.6s,62,46,56,0,3,-50,4.42,24.155805555555553,15.802666666666667
70,24d09m21.4s,15d48m1.3s,235,198,223,-90,3,-79,4.12,24.155944444444444,15.800361111111112
71,24d09m21.8s,15d48m11.4s,17,16,17,0,3,-50,4.46,24.156055555555554,15.803166666666668
72,24d09m22.3s,15d48m21.8s,25,25,25,0,3,-17,4.83,24.15619444444444,15.806055555555556
73,24d09m23.1s,15d48m14.3s,22,21,21,0,3,-51,4.53,24.156416666666665,15.803972222222223
74,24d09m24.1s,15d48m12.7s,18,17,18,0,3,-65,4.44,24.156694444444444,15.803527777777779
75,24d09m26.4s,15d47m16.4s,42,40,41,0,3,-110,2.83,24.15733333333333,15.787888888888888
76,24d09m26.7s,15d48m18.4s,28,23,26,0,3,-66,4.58,24.157416666666666,15.805111111111112
77,24d09m26.7s,15d47m5.5s,66,56,63,0,3,-71,2.73,24.157416666666666,15.78486111111111
78,24d09m27.0s,15d47m17.3s,28,26,27,-90,3,-117,2.81,24.1575,15.78813888888889
79,24d09m27.2s,15d46m29.6s,29,28,29,0,4,-137,3.08,24.157555555555554,15.77488888888889
80,24d09m27.3s,15d48m22.5s,44,38,42,0,3,-48,4.73,24.15758333333333,15.80625
81,24d09m27.5s,15d47m18.4s,34,29,32,0,2,114,2.81,24.157638888888886,15.788444444444444
82,24d09m27.6s,15d47m15.5s,18,16,18,0,2,113,2.76,24.157666666666664,15.787638888888889
